Area;Year;Area Type;Region;State Code;Population (Population)
Macomb County, MI;1990;County;MI;26;718280
Oakland County, MI;1990;County;MI;26;1086685
St. Clair County, MI;1990;County;MI;26;146333
Wayne County, MI;1990;County;MI;26;2107915
Lapeer County, MI;1991;County;MI;26;76550
Livingston County, MI;1991;County;MI;26;119527
Macomb County, MI;1991;County;MI;26;728183
Oakland County, MI;1991;County;MI;26;1100954
St. Clair County, MI;1991;County;MI;26;148638
Wayne County, MI;1991;County;MI;26;2111811
Lapeer County, MI;1992;County;MI;26;77782
Livingston County, MI;1992;County;MI;26;122604
Macomb County, MI;1992;County;MI;26;737278
Oakland County, MI;1992;County;MI;26;1117187
St. Clair County, MI;1992;County;MI;26;150116
Wayne County, MI;1992;County;MI;26;2114839
Lapeer County, MI;1993;County;MI;26;79187
Livingston County, MI;1993;County;MI;26;125704
Macomb County, MI;1993;County;MI;26;745112
Oakland County, MI;1993;County;MI;26;1129455
St. Clair County, MI;1993;County;MI;26;151541
Wayne County, MI;1993;County;MI;26;2113713
Lapeer County, MI;1994;County;MI;26;80303
Livingston County, MI;1994;County;MI;26;129655
Macomb County, MI;1994;County;MI;26;751181
Oakland County, MI;1994;County;MI;26;1141823
St. Clair County, MI;1994;County;MI;26;153027
Wayne County, MI;1994;County;MI;26;2109434
Lapeer County, MI;1995;County;MI;26;82345
Livingston County, MI;1995;County;MI;26;134170
Macomb County, MI;1995;County;MI;26;761378
Oakland County, MI;1995;County;MI;26;1155687
St. Clair County, MI;1995;County;MI;26;154853
Wayne County, MI;1995;County;MI;26;2111313
Lapeer County, MI;1996;County;MI;26;84125
Livingston County, MI;1996;County;MI;26;138830
Macomb County, MI;1996;County;MI;26;773074
Oakland County, MI;1996;County;MI;26;1167082
St. Clair County, MI;1996;County;MI;26;156509
Wayne County, MI;1996;County;MI;26;2113482
Lapeer County, MI;1997;County;MI;26;85209
Livingston County, MI;1997;County;MI;26;143075
Macomb County, MI;1997;County;MI;26;776506
Oakland County, MI;1997;County;MI;26;1176377
St. Clair County, MI;1997;County;MI;26;158559
Wayne County, MI;1997;County;MI;26;2100674
Lapeer County, MI;1998;County;MI;26;86299
Livingston County, MI;1998;County;MI;26;147808
Macomb County, MI;1998;County;MI;26;779567
Oakland County, MI;1998;County;MI;26;1182206
St. Clair County, MI;1998;County;MI;26;160726
Wayne County, MI;1998;County;MI;26;2085111
Lapeer County, MI;1999;County;MI;26;87080
Livingston County, MI;1999;County;MI;26;153033
Macomb County, MI;1999;County;MI;26;783828
Oakland County, MI;1999;County;MI;26;1188498
St. Clair County, MI;1999;County;MI;26;163096
Wayne County, MI;1999;County;MI;26;2072114
Lapeer County, MI;2000;County;MI;26;88271
Livingston County, MI;2000;County;MI;26;158345
Macomb County, MI;2000;County;MI;26;790846
Oakland County, MI;2000;County;MI;26;1196165
St. Clair County, MI;2000;County;MI;26;164621
Wayne County, MI;2000;County;MI;26;2057255
Lapeer County, MI;2001;County;MI;26;89102
Livingston County, MI;2001;County;MI;26;163146
Macomb County, MI;2001;County;MI;26;800571
Oakland County, MI;2001;County;MI;26;1200425
St. Clair County, MI;2001;County;MI;26;165444
Wayne County, MI;2001;County;MI;26;2043167
Lapeer County, MI;2002;County;MI;26;90035
Livingston County, MI;2002;County;MI;26;167833
Macomb County, MI;2002;County;MI;26;808457
Oakland County, MI;2002;County;MI;26;1198889
St. Clair County, MI;2002;County;MI;26;166086
Wayne County, MI;2002;County;MI;26;2025133
Lapeer County, MI;2003;County;MI;26;90573
Livingston County, MI;2003;County;MI;26;171357
Macomb County, MI;2003;County;MI;26;815982
Oakland County, MI;2003;County;MI;26;1201756
St. Clair County, MI;2003;County;MI;26;167549
Wayne County, MI;2003;County;MI;26;2006154
Lapeer County, MI;2004;County;MI;26;91125
Livingston County, MI;2004;County;MI;26;175245
Macomb County, MI;2004;County;MI;26;823418
Oakland County, MI;2004;County;MI;26;1203812
St. Clair County, MI;2004;County;MI;26;168457
Wayne County, MI;2004;County;MI;26;1983830
Lapeer County, MI;2005;County;MI;26;91739
Livingston County, MI;2005;County;MI;26;178819
Macomb County, MI;2005;County;MI;26;828765
Oakland County, MI;2005;County;MI;26;1203253
St. Clair County, MI;2005;County;MI;26;168209
Wayne County, MI;2005;County;MI;26;1960263
Lapeer County, MI;2006;County;MI;26;91691
Livingston County, MI;2006;County;MI;26;181620
Macomb County, MI;2006;County;MI;26;833328
Oakland County, MI;2006;County;MI;26;1202256
St. Clair County, MI;2006;County;MI;26;168312
Wayne County, MI;2006;County;MI;26;1932490
Lapeer County, MI;2007;County;MI;26;91130
Livingston County, MI;2007;County;MI;26;181903
Macomb County, MI;2007;County;MI;26;835703
Oakland County, MI;2007;County;MI;26;1199862
St. Clair County, MI;2007;County;MI;26;167526
Wayne County, MI;2007;County;MI;26;1900992
Lapeer County, MI;2008;County;MI;26;89914
Livingston County, MI;2008;County;MI;26;181171
Macomb County, MI;2008;County;MI;26;837857
Oakland County, MI;2008;County;MI;26;1199545
St. Clair County, MI;2008;County;MI;26;165959
Wayne County, MI;2008;County;MI;26;1865058
Lapeer County, MI;2009;County;MI;26;88774
Livingston County, MI;2009;County;MI;26;181082
Macomb County, MI;2009;County;MI;26;839435
Oakland County, MI;2009;County;MI;26;1200890
St. Clair County, MI;2009;County;MI;26;164011
Wayne County, MI;2009;County;MI;26;1837536
Lapeer County, MI;2010;County;MI;26;88210
Livingston County, MI;2010;County;MI;26;181069
Macomb County, MI;2010;County;MI;26;841352
Oakland County, MI;2010;County;MI;26;1203106
St. Clair County, MI;2010;County;MI;26;162690
Wayne County, MI;2010;County;MI;26;1815081
Lapeer County, MI;2011;County;MI;26;88094
Livingston County, MI;2011;County;MI;26;182043
Macomb County, MI;2011;County;MI;26;844146
Oakland County, MI;2011;County;MI;26;1212643
St. Clair County, MI;2011;County;MI;26;161581
Wayne County, MI;2011;County;MI;26;1803189
Lapeer County, MI;2012;County;MI;26;88195
Livingston County, MI;2012;County;MI;26;182783
Macomb County, MI;2012;County;MI;26;849734
Oakland County, MI;2012;County;MI;26;1223598
St. Clair County, MI;2012;County;MI;26;160625
Wayne County, MI;2012;County;MI;26;1795929
Lapeer County, MI;2013;County;MI;26;88291
Livingston County, MI;2013;County;MI;26;184205
Macomb County, MI;2013;County;MI;26;857110
Oakland County, MI;2013;County;MI;26;1235468
St. Clair County, MI;2013;County;MI;26;160288
Wayne County, MI;2013;County;MI;26;1780225
Lapeer County, MI;2014;County;MI;26;88194
Livingston County, MI;2014;County;MI;26;185527
Macomb County, MI;2014;County;MI;26;862876
Oakland County, MI;2014;County;MI;26;1242853
St. Clair County, MI;2014;County;MI;26;160065
