X,Y,record_id,date_status,parcel_id,lon,lat,ObjectId,street_num,street_dir,street_name,address_id
-83.068788,42.383401,RNT2019-03319,2019/05/23 00:00:00+00,05002902.,-83.068788,42.383401,30845,976,,ALGER,345090
-83.069628,42.383089,RNT2019-03320,2019/05/23 00:00:00+00,05002902.,-83.069628,42.383089,30846,926,,ALGER,344927
-83.068471,42.382932,RNT2019-03324,2019/05/23 00:00:00+00,05002902.,-83.068471,42.382932,30847,979,,HAGUE,344874
-83.069262,42.382641,RNT2019-03325,2019/05/23 00:00:00+00,05002902.,-83.069262,42.382641,30848,925,,HAGUE,344804
,,RNT2019-03331,2019/05/23 00:00:00+00,,,,30849,11915,,RIAD,
-83.197333,42.437191,RNT2019-03334,2019/05/23 00:00:00+00,22047709.001,-83.197333,42.437191,30850,19790,,WHITCOMB,61370
,,RNT2019-03335,2019/05/23 00:00:00+00,,,,30851,22415,,RAY,
-83.080313,42.437663,RNT2019-03337,2019/05/23 00:00:00+00,09015275.,-83.080313,42.437663,30852,19458,,LUMPKIN,287530
-82.955274,42.424153,RNT2019-03338,2019/05/23 00:00:00+00,21057944.,-82.955274,42.424153,30853,11890,,LAING,304217
,,RNT2019-03339,2019/05/23 00:00:00+00,,,,30854,16754,,WEST PARKWAY,
-82.992034,42.383733,RNT2019-03340,2019/05/24 00:00:00+00,21038685.,-82.992034,42.383733,30855,4840,,ST CLAIR,301573
-83.252484,42.430003,RNT2019-03341,2019/05/24 00:00:00+00,22110028.,-83.252484,42.430003,30856,19143,,WESTBROOK,98743
-82.99188,42.383495,RNT2019-03342,2019/05/24 00:00:00+00,21038682.,-82.99188,42.383495,30857,4822,,ST CLAIR,301532
-83.072695,42.377406,RNT2019-03344,2019/05/24 00:00:00+00,01002411.,-83.072695,42.377406,30858,319,,MT VERNON,342136
-83.232969,42.425322,RNT2019-03348,2019/05/24 00:00:00+00,22089614.,-83.232969,42.425322,30859,18444,,HUNTINGTON,115755
-83.246237,42.439582,RNT2019-03349,2019/05/24 00:00:00+00,22105483.,-83.246237,42.439582,30860,20088,,BRAILE,95149
-83.215865,42.414822,RNT2019-03350,2019/05/24 00:00:00+00,22070138.,-83.215865,42.414822,30861,16867,,HARLOW,146557
-83.245064,42.366065,RNT2019-03351,2019/05/24 00:00:00+00,22107155.,-83.245064,42.366065,30862,9601,,PIERSON,176665
-83.263637,42.373678,RNT2019-03352,2020/05/05 00:00:00+00,22117918-9,-83.263637,42.373678,30863,11741,,BRAMELL,172988
-83.190075,42.424923,RNT2019-03353,2019/05/24 00:00:00+00,22039797-8,-83.190075,42.424923,30864,18295,,HUBBELL,65845
-82.952904,42.425448,RNT2019-03354,2019/05/24 00:00:00+00,21058205.,-82.952904,42.425448,30865,11956,,WHITEHILL,309303
-83.174016,42.440482,RNT2019-03356,2019/05/24 00:00:00+00,22023828.,-83.174016,42.440482,30866,20044,,SORRENTO,27731
-83.219498,42.348125,RNT2019-03357,2019/05/24 00:00:00+00,22077551.,-83.219498,42.348125,30867,7676,,PENROD,167930
-83.223019,42.346146,RNT2019-03358,2019/05/24 00:00:00+00,22080935.,-83.223019,42.346146,30868,7396,,BRACE,165098
-83.234522,42.36315,RNT2019-03359,2019/05/24 00:00:00+00,22093758.,-83.234522,42.36315,30869,9310,,PLAINVIEW,171415
-83.193396,42.427571,RNT2019-03360,2019/05/24 00:00:00+00,22043866.,-83.193396,42.427571,30870,18636,,ROBSON,65452
-83.234026,42.370188,RNT2019-03361,2019/05/24 00:00:00+00,22092780.,-83.234026,42.370188,30871,11343,,AUBURN,185820
-83.238163,42.432939,RNT2019-03362,2019/05/24 00:00:00+00,22094248.,-83.238163,42.432939,30872,19373,,PLAINVIEW,103275
-83.194421,42.370505,RNT2019-03363,2019/05/24 00:00:00+00,22046954.,-83.194421,42.370505,30873,11311,,SUSSEX,210196
-83.244996,42.43189,RNT2019-03364,2019/05/24 00:00:00+00,22104177.,-83.244996,42.43189,30874,19326,,PATTON,102937
,,RNT2019-03365,2019/05/24 00:00:00+00,,,,30875,4055,,PURITAN,
-83.187644,42.385908,RNT2019-03366,2019/05/24 00:00:00+00,22038487.,-83.187644,42.385908,30876,13331,,STRATHMOOR,136904
-83.285539,42.440824,RNT2019-03367,2019/05/24 00:00:00+00,22124209.001,-83.285539,42.440824,30877,20487,,GRANDVIEW,104759
,,RNT2019-03368,2019/05/24 00:00:00+00,,,,30878,19841,,PAUL,
-83.192802,42.369801,RNT2019-03369,2019/05/24 00:00:00+00,22044730.,-83.192802,42.369801,30879,10026,,COYLE,209342
,,RNT2019-03371,2019/05/24 00:00:00+00,,,,30880,5517,,JOHN C LODGE,
,,RNT2019-03372,2019/05/24 00:00:00+00,,,,30881,5533,,JOHN C LODGE,
,,RNT2019-03373,2019/05/24 00:00:00+00,,,,30882,5541,,JOHN C LODGE,
,,RNT2019-03374,2019/05/24 00:00:00+00,,,,30883,5553,,JOHN C LODGE,
,,RNT2019-03375,2019/05/24 00:00:00+00,,,,30884,5561,,JOHN C LODGE,
,,RNT2019-03377,2019/05/28 00:00:00+00,,,,30885,5589,,JOHN C LODGE,
,,RNT2019-03378,2019/05/28 00:00:00+00,,,,30886,5597,,JOHN C LODGE,
,,RNT2019-03400,2019/05/28 00:00:00+00,,,,30887,5629,,JOHN C LODGE,
-83.246581,42.428162,RNT2019-03403,2019/05/28 00:00:00+00,22105546.,-83.246581,42.428162,30888,18981,,BRAILE,101949
-83.223154,42.414663,RNT2019-03404,2019/05/28 00:00:00+00,22082448.,-83.223154,42.414663,30889,16869,,GLASTONBURY,123398
-83.28301,42.42391,RNT2019-03405,2019/05/28 00:00:00+00,22123761.,-83.28301,42.42391,30890,18435,,FENTON,108541
-83.169621,42.438643,RNT2019-03406,2019/05/28 00:00:00+00,16045488.002,-83.169621,42.438643,30891,19904,,MANOR,34664
-82.939301,42.35914,RNT2019-03407,2019/05/28 00:00:00+00,21052712.,-82.939301,42.35914,30892,182,,EASTLAWN,334437
-83.196752,42.374189,RNT2019-03408,2019/05/28 00:00:00+00,22049275.,-83.196752,42.374189,30893,11711,,PREST,213149
-83.246282,42.44002,RNT2019-03414,2019/05/29 00:00:00+00,22105488.003,-83.246282,42.44002,30894,20120,,BRAILE,95236
-83.253842,42.432297,RNT2019-03416,2019/05/29 00:00:00+00,22110800.,-83.253842,42.432297,30895,19359,,BENTLER,98728
-83.170763,42.41304,RNT2019-03420,2019/05/29 00:00:00+00,22021146.,-83.170763,42.41304,30896,16570,,APPOLINE,93923
-83.242472,42.404071,RNT2019-03421,2020/05/26 00:00:00+00,22102596.,-83.242472,42.404071,30897,15520,,FIELDING,128048
-83.158837,42.439488,RNT2019-03424,2019/05/29 00:00:00+00,16035795.,-83.158837,42.439488,30898,19960,,INDIANA,34686
-83.154845,42.440132,RNT2019-03425,2019/05/29 00:00:00+00,16032104.,-83.154845,42.440132,30899,20003,,NORTHLAWN,23325
-83.184872,42.43038,RNT2019-03426,2019/05/29 00:00:00+00,22034824.,-83.184872,42.43038,30900,19006,,ARDMORE,220288
-83.154398,42.44067,RNT2019-03427,2019/05/29 00:00:00+00,16032022.,-83.154398,42.44067,30901,20042,,NORTHLAWN,23314
,,RNT2019-03428,2019/05/29 00:00:00+00,,,,30902,19968,,OHIO,
-83.163658,42.41456,RNT2019-03430,2019/05/30 00:00:00+00,16041572.,-83.163658,42.41456,30903,16805,,GRIGGS,94618
