X,Y,record_id,record_status_date,parcel_id,lon,lat,ObjectId,address_id,street_num,street_dir,street_name
-83.077408,42.433151,ANN2004-05171,2019/08/30 00:00:00+00,09007782-90,-83.077408,42.433151,47,348696,2415,E,SEVEN MILE
-83.207557,42.372709,ANN2004-05185,2022/03/30 00:00:00+00,22005867-8,-83.207557,42.372709,48,216407,16400,,PLYMOUTH
-83.211529,42.372084,ANN2004-05193,2022/04/02 00:00:00+00,22005202-7,-83.211529,42.372084,49,216383,16829,,PLYMOUTH
-83.254916,42.415685,ANN2004-05198,2019/06/12 00:00:00+00,22007837.,-83.254916,42.415685,50,535946,21576,W,GRAND RIVER
,,ANN2004-05207,2022/08/12 00:00:00+00,,,,51,,18250,,PLYMOUTH
-82.937874,42.402803,ANN2004-05217,2019/10/14 00:00:00+00,21002328.,-82.937874,42.402803,52,333644,16390,E,WARREN
,,ANN2004-05221,2021/12/05 00:00:00+00,,,,53,,7810,,SOUTHFIELD
,,ANN2004-05222,2019/09/26 00:00:00+00,,,,54,,7824,,SOUTHFIELD
,,ANN2004-05224,2022/09/30 00:00:00+00,,,,55,,8287,,SOUTHFIELD
,,ANN2004-05226,2021/11/30 00:00:00+00,,,,56,,8850,,SOUTHFIELD
-83.063353,42.328522,ANN2004-05229,2021/12/15 00:00:00+00,06000224-5,-83.063353,42.328522,57,251078,1400,,PORTER
-83.073173,42.446849,ANN2004-05255,2022/01/26 00:00:00+00,13009221-4,-83.073173,42.446849,58,255166,2940,E,EIGHT MILE
-83.063853,42.37829,ANN2004-05269,2022/10/12 00:00:00+00,05002610-8,-83.063853,42.37829,59,342939,1141,,CLAY
-83.064879,42.421081,ANN2004-05278,2022/02/03 00:00:00+00,13025004-10,-83.064879,42.421081,60,538350,17300,,CONANT
-83.065315,42.42069,ANN2004-05279,2020/08/24 00:00:00+00,09008750-9,-83.065315,42.42069,61,281267,17301,,CONANT
-83.065062,42.421398,ANN2004-05281,2022/10/24 00:00:00+00,13025011-5,-83.065062,42.421398,62,414308,17340,,CONANT
-83.065912,42.422512,ANN2004-05285,2021/03/29 00:00:00+00,13025017.,-83.065912,42.422512,63,538376,17400,,CONANT
-83.070454,42.387104,ANN2004-05287,2022/04/18 00:00:00+00,05005179.,-83.070454,42.387104,64,346063,9101,,DELMAR
-83.100815,42.317928,ANN2004-05290,2020/12/10 00:00:00+00,16000664.,-83.100815,42.317928,65,349460,5415,W,VERNOR
,,ANN2004-05301,2021/01/20 00:00:00+00,,,,66,,2445,E,GRAND BLVD
-83.174177,42.419524,ANN2004-05307,2019/03/08 00:00:00+00,22019084-5,-83.174177,42.419524,67,538373,17378,,JAMES COUZENS
,,ANN2004-05316,2022/07/13 00:00:00+00,,,,68,,13711,,JOY ROAD
-83.072798,42.36301,ANN2004-05325,2019/05/09 00:00:00+00,02002429.,-83.072798,42.36301,69,349552,5920,,SECOND
,,ANN2004-05328,2022/05/06 00:00:00+00,,,,70,,14348,,JOY ROAD
-83.077629,42.371555,ANN2004-05364,2020/10/28 00:00:00+00,02001133.,-83.077629,42.371555,71,336927,7600,,SECOND
-83.07782,42.372056,ANN2004-05370,2022/11/23 00:00:00+00,02001151-2,-83.07782,42.372056,72,340164,7650,,SECOND
-83.07817,42.372621,ANN2004-05371,2019/12/10 00:00:00+00,02001153-5,-83.07817,42.372621,73,340352,7700,,SECOND
-83.081243,42.443974,ANN2004-05382,2022/05/02 00:00:00+00,13025307-10,-83.081243,42.443974,74,285223,20208,,CONANT
-83.082746,42.42157,ANN2004-05401,2022/11/14 00:00:00+00,09016935-42,-83.082746,42.42157,75,277494,17441,,DEQUINDRE
-83.083466,42.440976,ANN2004-05403,2022/08/10 00:00:00+00,09016694-702,-83.083466,42.440976,76,277053,19951,,DEQUINDRE
-82.913871,42.41171,ANN2004-05409,2021/04/26 00:00:00+00,21078518.,-82.913871,42.41171,77,347621,18536,E,WARREN
-83.07699,42.36676,ANN2004-05446,2022/10/15 00:00:00+00,04001390-1,-83.07699,42.36676,78,335866,670,W,BALTIMORE
,,ANN2004-05450,2022/06/30 00:00:00+00,,,,79,,18801,,JOS CAMPAU
-83.070883,42.426661,ANN2004-05465,2022/06/14 00:00:00+00,09010568.001,-83.070883,42.426661,80,290930,18045,,MCDOUGALL
-83.209488,42.396835,ANN2004-05494,2022/05/02 00:00:00+00,22007164-5,-83.209488,42.396835,81,352102,16543,W,GRAND RIVER
-83.045091,42.372582,ANN2004-05513,2022/09/19 00:00:00+00,11003123.,-83.045091,42.372582,82,539955,5838,,CHENE
-83.094752,42.418293,ANN2004-05515,2020/11/04 00:00:00+00,01004440-2,-83.094752,42.418293,83,158310,831,E,MCNICHOLS
-83.038576,42.431987,ANN2004-05520,2021/10/26 00:00:00+00,15014367-8,-83.038576,42.431987,84,538671,18800,,MT ELLIOTT
,,ANN2004-05525,2021/07/07 00:00:00+00,,,,85,,1485,E,OUTER DRIVE
,,ANN2004-05526,2022/06/14 00:00:00+00,,,,86,,1400,E,OUTER DRIVE
,,ANN2004-05538,2020/02/03 00:00:00+00,,,,87,,17141,,RYAN
-83.081459,42.418945,ANN2004-05541,2022/01/11 00:00:00+00,09016131.,-83.081459,42.418945,88,538306,17131,,ST AUBIN
-82.977349,42.364154,ANN2004-05556,2022/07/27 00:00:00+00,21000500.,-82.977349,42.364154,89,534912,10549,E,JEFFERSON
-82.939899,42.414643,ANN2004-05567,2022/03/22 00:00:00+00,21004616-21,-82.939899,42.414643,90,303763,16737,,HARPER
-83.088794,42.440124,ANN2004-05569,2022/10/06 00:00:00+00,09008134-5,-83.088794,42.440124,91,535466,1501,E,STATE FAIR
