ID Race,Race,ID Year,Year,ID Poverty Status,Poverty Status,PovertyPopulation,Poverty Population Moe,Geography,ID Geography,Slug Geography,share
7,"Two Or More",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",22366,1113.7284229110794,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.03388988137177803
4,"Asian",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",22286,986.9361681486802,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.03247334201775936
4,"Asian",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",20781,1003.0518431267649,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.031488224304163426
4,"Asian",2020,"2020",0,"Income In The Past 12 Months Below Poverty Level",20552,1099.433945264562,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.03271335227498826
4,"Asian",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",20520,908.7650961607185,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.029008781800806367
4,"Asian",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",20169,923.1451673491011,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0275278567879936
4,"Asian",2015,"2015",0,"Income In The Past 12 Months Below Poverty Level",18603,880.6611152991826,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.02453943220162356
4,"Asian",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",17610,858.2709362433287,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.023106445793012957
4,"Asian",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",17527,883.3504400859265,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.023205901901541412
6,"Other",2020,"2020",0,"Income In The Past 12 Months Below Poverty Level",14568,1040.9212266065094,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.02318840579710145
6,"Other",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",13946,854.6180433386601,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.018464626457402666
6,"Other",2015,"2015",0,"Income In The Past 12 Months Below Poverty Level",13479,834.1630536052289,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.017780304609239586
6,"Other",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",13424,809.7987404287562,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.01832187761029432
6,"Other",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",13266,835.7601330525404,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.02010118779746076
6,"Other",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",13076,815.8866342819938,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.018485323139734115
6,"Other",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",13019,838.1694339451899,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.017082499589962278
6,"Other",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",12460,786.1653770041008,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.018155696021775178
3,"Native American",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",3122,369.8296905333589,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.004133555413739504
3,"Native American",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",3093,347.0878851242146,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0040583893718222075
3,"Native American",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",3038,360.835142412709,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.004146443994344021
3,"Native American",2015,"2015",0,"Income In The Past 12 Months Below Poverty Level",2907,355.0281678965769,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.003834657281627678
3,"Native American",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",2850,376.2273248981259,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.004318436998549914
3,"Native American",2020,"2020",0,"Income In The Past 12 Months Below Poverty Level",2653,364.6806822413274,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0042228748338625855
3,"Native American",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",2644,347.3326935374785,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0037377787076672527
3,"Native American",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",2273,317.14192406555145,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0033120302614361944
5,"Pacific Islander",2020,"2020",0,"Income In The Past 12 Months Below Poverty Level",530,230.57970422394075,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0008436199253475953
5,"Pacific Islander",2019,"2019",0,"Income In The Past 12 Months Below Poverty Level",515,218.90408858675983,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0007803491418432301
5,"Pacific Islander",2018,"2018",0,"Income In The Past 12 Months Below Poverty Level",236,130.07305639524276,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0003438799567527241
5,"Pacific Islander",2017,"2017",0,"Income In The Past 12 Months Below Poverty Level",209,135.96690773861116,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.0002954598146378426
5,"Pacific Islander",2013,"2013",0,"Income In The Past 12 Months Below Poverty Level",133,135.3994091567611,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.00017609316784988918
5,"Pacific Islander",2016,"2016",0,"Income In The Past 12 Months Below Poverty Level",101,117.45211790342479,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.00013785083720498556
5,"Pacific Islander",2014,"2014",0,"Income In The Past 12 Months Below Poverty Level",96,122.89426349508751,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.00012596358865015581
5,"Pacific Islander",2015,"2015",0,"Income In The Past 12 Months Below Poverty Level",92,120.17903311310171,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi",0.00012135826278285049
